# -------------------------------------------------------,,,,
# ---- CSV created by:  mightymerge.io                   ,,,,
# -------------------------------------------------------,,,,
,,,,
Neighborhood,Year,own_occ_rate,corp_own_rate,Zip Code
Allston,2004,0.29,0.07,2134
Allston,2005,0.3,0.07,2134
Allston,2006,0.29,0.08,2134
Allston,2007,0.31,0.08,2134
Allston,2008,0.31,0.09,2134
Allston,2009,0.31,0.09,2134
Allston,2010,0.3,0.09,2134
Allston,2011,0.3,0.1,2134
Allston,2012,0.28,0.1,2134
Allston,2013,0.27,0.11,2134
Allston,2014,0.26,0.12,2134
Allston,2015,0.25,0.13,2134
Allston,2016,0.24,0.14,2134
Allston,2017,0.24,0.16,2134
Allston,2018,0.23,0.17,2134
Allston,2019,0.23,0.18,2134
Allston,2020,0.22,0.22,2134
Allston,2021,0.22,0.24,2134
Allston,2022,0.23,0.25,2134
Allston,2023,0.23,0.28,2134
Allston,2024,0.22,0.3,2134
Beacon Hill,2004,0.34,0.05,2114
Beacon Hill,2004,0.34,0.05,2108
Beacon Hill,2005,0.34,0.06,2114
Beacon Hill,2005,0.34,0.06,2108
Beacon Hill,2006,0.32,0.06,2114
Beacon Hill,2006,0.32,0.06,2108
Beacon Hill,2007,0.33,0.07,2114
Beacon Hill,2007,0.33,0.07,2108
Beacon Hill,2008,0.33,0.07,2114
Beacon Hill,2008,0.33,0.07,2108
Beacon Hill,2009,0.32,0.08,2114
Beacon Hill,2009,0.32,0.08,2108
Beacon Hill,2010,0.32,0.07,2114
Beacon Hill,2010,0.32,0.07,2108
Beacon Hill,2011,0.3,0.07,2114
Beacon Hill,2011,0.3,0.07,2108
Beacon Hill,2012,0.3,0.07,2114
Beacon Hill,2012,0.3,0.07,2108
Beacon Hill,2013,0.31,0.07,2114
Beacon Hill,2013,0.31,0.07,2108
Beacon Hill,2014,0.31,0.08,2114
Beacon Hill,2014,0.31,0.08,2108
Beacon Hill,2015,0.31,0.09,2114
Beacon Hill,2015,0.31,0.09,2108
Beacon Hill,2016,0.31,0.09,2114
Beacon Hill,2016,0.31,0.09,2108
Beacon Hill,2017,0.31,0.12,2114
Beacon Hill,2017,0.31,0.12,2108
Beacon Hill,2018,0.31,0.13,2114
Beacon Hill,2018,0.31,0.13,2108
Beacon Hill,2019,0.31,0.15,2114
Beacon Hill,2019,0.31,0.15,2108
Beacon Hill,2020,0.3,0.2,2114
Beacon Hill,2020,0.3,0.2,2108
Beacon Hill,2021,0.29,0.24,2114
Beacon Hill,2021,0.29,0.24,2108
Beacon Hill,2022,0.3,0.25,2114
Beacon Hill,2022,0.3,0.25,2108
Beacon Hill,2023,0.3,0.28,2114
Beacon Hill,2023,0.3,0.28,2108
Beacon Hill,2024,0.29,0.3,2114
Beacon Hill,2024,0.29,0.3,2108
Brighton,2004,0.44,0.04,2135
