zip,case_type,file_date,case_status,lat,long,year,Neighborhood,rent_issue
02131,Non-payment of Rent,11/3/2022,Active,42.2903715,-71.1223173,2022,Roslindale,True
02131,Non-payment of Rent,11/3/2022,Closed,42.28124,-71.113653,2022,Roslindale,True
02131,Non-payment of Rent,3/14/2022,Closed,42.2852603,-71.1080427,2022,Roslindale,True
02131,Cause,5/30/2022,Closed,42.27993,-71.135501,2022,Roslindale,False
02131,No Cause,5/13/2022,Closed,42.28839,-71.13247,2022,Roslindale,False
02131,No Cause,4/8/2022,Closed,42.274097,-71.121237,2022,Roslindale,False
02131,Non-payment of Rent,5/26/2022,Closed,42.2804511,-71.1213031,2022,Roslindale,True
02131,Cause,2/14/2022,Closed,42.272575,-71.12963,2022,Roslindale,False
02131,Cause,2/24/2022,Closed,42.2785109,-71.1352599,2022,Roslindale,False
02131,Cause,3/2/2022,Active,42.276108,-71.135532,2022,Roslindale,False
02131,Non-payment of Rent,3/4/2022,Closed,42.2874143,-71.1219255,2022,Roslindale,True
02131,Non-payment of Rent,3/3/2022,Closed,42.2914161,-71.1358478,2022,Roslindale,True
02131,Cause,3/11/2022,Closed,42.2909209,-71.1232294,2022,Roslindale,False
02131,Non-payment of Rent,4/19/2022,Closed,42.2859,-71.12675,2022,Roslindale,True
02131,Non-payment of Rent,6/28/2022,Closed,42.291466,-71.1230469,2022,Roslindale,True
02131,Cause,6/28/2022,Active,42.2767181,-71.1310306,2022,Roslindale,False
02131,Non-payment of Rent,7/11/2022,Closed,42.2907262,-71.1231915,2022,Roslindale,True
02131,No Cause,1/12/2022,Closed,42.2925429,-71.1226596,2022,Roslindale,False
02131,No Cause,4/22/2022,Active,42.283495,-71.13537,2022,Roslindale,False
02131,Non-payment of Rent,5/12/2022,Closed,42.2892815,-71.1179819,2022,Roslindale,True
02131,Non-payment of Rent,4/29/2022,Closed,42.2903715,-71.1223173,2022,Roslindale,True
02131,No Cause,4/22/2022,Closed,42.283173,-71.1373175,2022,Roslindale,False
02131,Cause,7/7/2022,Closed,42.2852778,-71.1265707,2022,Roslindale,False
02131,No Cause,7/18/2022,Closed,42.2941304,-71.1202668,2022,Roslindale,False
02131,No Cause,4/22/2022,Closed,42.2863196,-71.1398782,2022,Roslindale,False
02131,Cause,9/15/2022,Active,42.2841187,-71.1278406,2022,Roslindale,False
02131,Non-payment of Rent,7/25/2022,Active,42.2820235,-71.1144898,2022,Roslindale,True
02131,No Cause,8/12/2022,Active,42.2803903,-71.1351823,2022,Roslindale,False
02131,Non-payment of Rent,9/1/2022,Active,42.2765878,-71.1368692,2022,Roslindale,True
02131,Non-payment of Rent,8/19/2022,Active,42.2902876,-71.1219767,2022,Roslindale,True
02131,Cause,9/1/2022,Active,42.2841187,-71.1278406,2022,Roslindale,False
02131,No Cause,8/4/2022,Active,42.27694,-71.121472,2022,Roslindale,False
02131,Cause,8/18/2022,Active,42.2950533,-71.1192975,2022,Roslindale,False
02131,Non-payment of Rent,12/13/2019,Closed,42.281932,-71.1187754,2019,Roslindale,True
02131,Non-payment of Rent,12/24/2019,Closed,42.2767531,-71.1368384,2019,Roslindale,True
02131,Non-payment of Rent,12/24/2019,Closed,42.2762317,-71.136612,2019,Roslindale,True
02131,Non-payment of Rent,1/22/2020,Closed,42.2771634,-71.1368766,2020,Roslindale,True
02131,Non-payment of Rent,12/24/2019,Active,42.2878387,-71.1215106,2019,Roslindale,True
02131,Non-payment of Rent,1/28/2020,Closed,42.2823474,-71.1190133,2020,Roslindale,True
02131,Non-payment of Rent,1/14/2020,Closed,42.29322,-71.13924,2020,Roslindale,True
02131,Non-payment of Rent,12/17/2019,Closed,42.289092,-71.1209993,2019,Roslindale,True
02131,Non-payment of Rent,1/24/2020,Suspended COVID19 - TBD,42.2868017,-71.1209747,2020,Roslindale,True
02131,Non-payment of Rent,12/20/2019,Active,42.273576,-71.139002,2019,Roslindale,True
02131,Non-payment of Rent,1/24/2020,Active,42.2785764,-71.1183938,2020,Roslindale,True
02131,Cause,6/27/2022,Active,42.2761716,-71.1377902,2022,Roslindale,False
02131,Non-payment of Rent,1/21/2020,Closed,42.289382,-71.120775,2020,Roslindale,True
02131,Non-payment of Rent,12/24/2019,Closed,42.2763544,-71.1372456,2019,Roslindale,True
02131,No Cause,9/17/2021,Active,42.2817287,-71.1391306,2021,Roslindale,False
02131,Non-payment of Rent,3/9/2020,Closed,42.2912073,-71.1233516,2020,Roslindale,True
02131,Non-payment of Rent,2/21/2020,Closed,42.28775,-71.130287,2020,Roslindale,True
02131,Non-payment of Rent,10/12/2021,Closed,42.2920787,-71.1226006,2021,Roslindale,True
