Neighborhood,Year,TotalFilings,EstimatedNonPaymentFilings
Allston,2019,17.0,15
Back Bay,2019,21.0,21
Beacon Hill,2019,14.0,12
Brighton,2019,15.0,15
Charlestown,2019,7.0,5
Chinatown,2019,8.0,7
Dorchester,2019,140.0,114
Downtown,2019,8.0,7
East Boston,2019,13.0,11
Hyde Park,2019,35.0,30
Jamaica Plain,2019,11.0,8
Longwood,2019,17.0,14
Mattapan,2019,31.0,23
Mission Hill,2019,10.0,8
Roslindale,2019,7.0,7
Roxbury,2019,29.0,23
South Boston,2019,31.0,24
South Boston Waterfront,2019,5.0,4
South End,2019,22.0,17
West Roxbury,2019,6.0,4
Allston,2020,46.0,27
Back Bay,2020,44.0,26
Beacon Hill,2020,35.0,20
Brighton,2020,61.0,36
Charlestown,2020,26.0,15
Chinatown,2020,9.0,5
Dorchester,2020,592.0,345
Downtown,2020,76.0,44
East Boston,2020,57.0,33
Hyde Park,2020,131.0,76
Jamaica Plain,2020,64.0,37
Longwood,2020,67.0,39
Mattapan,2020,137.0,80
Mission Hill,2020,69.0,40
Roslindale,2020,21.0,12
Roxbury,2020,209.0,122
South Boston,2020,49.0,29
South Boston Waterfront,2020,25.0,15
South End,2020,160.0,93
West Roxbury,2020,13.0,8
Allston,2021,78.0,47
Boston (citywide),2021,341.0,207
Brighton,2021,81.0,49
Charlestown,2021,16.0,10
Dorchester,2021,376.0,228
East Boston,2021,120.0,73
Jamaica Plain,2021,98.0,59
Mattapan,2021,97.0,59
Roslindale,2021,93.0,56
Roxbury,2021,122.0,74
South Boston,2021,19.0,12
West Roxbury,2021,36.0,22
Allston,2022,73.0,45
Boston (citywide),2022,467.0,287
Brighton,2022,108.0,66
Charlestown,2022,37.0,23
Dorchester,2022,467.0,287
East Boston,2022,136.0,84
Jamaica Plain,2022,120.0,74
Mattapan,2022,186.0,114
Roslindale,2022,123.0,76
Roxbury,2022,169.0,104
South Boston,2022,44.0,27
West Roxbury,2022,43.0,26
Allston,2023,111.0,79
Boston (citywide),2023,794.0,566
Brighton,2023,134.0,96
Charlestown,2023,64.0,46
Dorchester,2023,927.0,661
East Boston,2023,175.0,125
Jamaica Plain,2023,136.0,97
Mattapan,2023,280.0,200
Roslindale,2023,151.0,108
Roxbury,2023,438.0,312
South Boston,2023,92.0,66
West Roxbury,2023,71.0,51
Allston,2024,141.0,101
Boston (citywide),2024,1213.0,872
Brighton,2024,198.0,142
Charlestown,2024,103.0,74
Dorchester,2024,1134.0,815
East Boston,2024,236.0,170
Jamaica Plain,2024,198.0,142
Mattapan,2024,477.0,343
Roslindale,2024,258.0,186
Roxbury,2024,667.0,480
South Boston,2024,123.0,88
West Roxbury,2024,110.0,79
