Neighborhood,Year,own_occ_rate,corp_own_rate,Zip Code,Median_House_Price
Allston,2004,0.29,0.07,2134.0,320000
Allston,2005,0.3,0.07,2134.0,348725
Allston,2006,0.29,0.08,2134.0,350000
Allston,2007,0.31,0.08,2134.0,314900
Allston,2008,0.31,0.09,2134.0,323000
Allston,2009,0.31,0.09,2134.0,322500
Allston,2010,0.3,0.09,2134.0,289500
Allston,2011,0.3,0.1,2134.0,365500
Allston,2012,0.28,0.1,2134.0,311250
Allston,2013,0.27,0.11,2134.0,354000
Allston,2014,0.26,0.12,2134.0,376000
Allston,2015,0.25,0.13,2134.0,425000
Allston,2016,0.24,0.14,2134.0,460000
Allston,2017,0.24,0.16,2134.0,545000
Allston,2018,0.23,0.17,2134.0,550000
Allston,2019,0.23,0.18,2134.0,607000
Allston,2020,0.22,0.22,2134.0,556000
Allston,2021,0.22,0.24,2134.0,550000
Allston,2022,0.23,0.25,2134.0,650000
Allston,2023,0.23,0.28,2134.0,0
Allston,2024,0.22,0.3,2134.0,0
Beacon Hill,2004,0.34,0.05,2114.0,467500
Beacon Hill,2004,0.34,0.05,2108.0,467500
Beacon Hill,2005,0.34,0.06,2114.0,470000
Beacon Hill,2005,0.34,0.06,2108.0,470000
Beacon Hill,2006,0.32,0.06,2114.0,472500
Beacon Hill,2006,0.32,0.06,2108.0,472500
Beacon Hill,2007,0.33,0.07,2114.0,504500
Beacon Hill,2007,0.33,0.07,2108.0,504500
Beacon Hill,2008,0.33,0.07,2114.0,450000
Beacon Hill,2008,0.33,0.07,2108.0,450000
Beacon Hill,2009,0.32,0.08,2114.0,500000
Beacon Hill,2009,0.32,0.08,2108.0,500000
Beacon Hill,2010,0.32,0.07,2114.0,542500
Beacon Hill,2010,0.32,0.07,2108.0,542500
Beacon Hill,2011,0.3,0.07,2114.0,545000
Beacon Hill,2011,0.3,0.07,2108.0,545000
Beacon Hill,2012,0.3,0.07,2114.0,569750
Beacon Hill,2012,0.3,0.07,2108.0,569750
Beacon Hill,2013,0.31,0.07,2114.0,630000
Beacon Hill,2013,0.31,0.07,2108.0,630000
Beacon Hill,2014,0.31,0.08,2114.0,732500
Beacon Hill,2014,0.31,0.08,2108.0,732500
Beacon Hill,2015,0.31,0.09,2114.0,677350
Beacon Hill,2015,0.31,0.09,2108.0,677350
Beacon Hill,2016,0.31,0.09,2114.0,760000
Beacon Hill,2016,0.31,0.09,2108.0,760000
Beacon Hill,2017,0.31,0.12,2114.0,825000
Beacon Hill,2017,0.31,0.12,2108.0,825000
Beacon Hill,2018,0.31,0.13,2114.0,775000
Beacon Hill,2018,0.31,0.13,2108.0,775000
Beacon Hill,2019,0.31,0.15,2114.0,877550
Beacon Hill,2019,0.31,0.15,2108.0,877550
Beacon Hill,2020,0.3,0.2,2114.0,827250
Beacon Hill,2020,0.3,0.2,2108.0,827250
Beacon Hill,2021,0.29,0.24,2114.0,900000
Beacon Hill,2021,0.29,0.24,2108.0,900000
Beacon Hill,2022,0.3,0.25,2114.0,1007675
Beacon Hill,2022,0.3,0.25,2108.0,1007675
Beacon Hill,2023,0.3,0.28,2114.0,0
Beacon Hill,2023,0.3,0.28,2108.0,0
Beacon Hill,2024,0.29,0.3,2114.0,0
Beacon Hill,2024,0.29,0.3,2108.0,0
Brighton,2004,0.44,0.04,2135.0,279500
Brighton,2005,0.44,0.04,2135.0,299525
Brighton,2006,0.43,0.04,2135.0,310000
Brighton,2007,0.45,0.05,2135.0,275000
Brighton,2008,0.44,0.05,2135.0,284000
Brighton,2009,0.43,0.05,2135.0,271000
Brighton,2010,0.43,0.07,2135.0,286000
Brighton,2011,0.42,0.07,2135.0,272400
Brighton,2012,0.4,0.07,2135.0,289000
Brighton,2013,0.39,0.08,2135.0,327500
Brighton,2014,0.38,0.09,2135.0,370000
Brighton,2015,0.36,0.1,2135.0,382000
Brighton,2016,0.35,0.1,2135.0,430000
Brighton,2017,0.34,0.11,2135.0,470000
Brighton,2018,0.33,0.12,2135.0,486000
Brighton,2019,0.33,0.13,2135.0,529500
Brighton,2020,0.32,0.16,2135.0,527500
Brighton,2021,0.32,0.19,2135.0,540000
Brighton,2022,0.32,0.19,2135.0,570000
Brighton,2023,0.32,0.21,2135.0,0
Brighton,2024,0.32,0.23,2135.0,0
Central Boston,2004,0.36,0.13,,0
Central Boston,2005,0.36,0.14,,0
Central Boston,2006,0.34,0.14,,0
Central Boston,2007,0.35,0.14,,0
Central Boston,2008,0.35,0.13,,0
Central Boston,2009,0.34,0.11,,0
Central Boston,2010,0.33,0.13,,0
Central Boston,2011,0.33,0.13,,0
Central Boston,2012,0.32,0.12,,0
Central Boston,2013,0.32,0.13,,0
Central Boston,2014,0.33,0.13,,0
Central Boston,2015,0.31,0.13,,0
Central Boston,2016,0.32,0.13,,0
Central Boston,2017,0.32,0.14,,0
Central Boston,2018,0.31,0.17,,0
Central Boston,2019,0.33,0.2,,0
Central Boston,2020,0.32,0.25,,0
Central Boston,2021,0.31,0.29,,0
Central Boston,2022,0.32,0.29,,0
Central Boston,2023,0.31,0.32,,0
Central Boston,2024,0.3,0.34,,0
Charlestown,2004,0.54,0.03,2129.0,418000
Charlestown,2005,0.54,0.03,2129.0,456450
Charlestown,2006,0.51,0.05,2129.0,439500
Charlestown,2007,0.54,0.04,2129.0,448950
Charlestown,2008,0.54,0.04,2129.0,425000
Charlestown,2009,0.53,0.04,2129.0,422000
Charlestown,2010,0.54,0.04,2129.0,446000
Charlestown,2011,0.53,0.04,2129.0,450000
Charlestown,2012,0.5,0.04,2129.0,469550
Charlestown,2013,0.5,0.05,2129.0,520000
Charlestown,2014,0.52,0.05,2129.0,580000
Charlestown,2015,0.51,0.05,2129.0,629500
Charlestown,2016,0.51,0.05,2129.0,650000
Charlestown,2017,0.51,0.06,2129.0,713750
Charlestown,2018,0.5,0.08,2129.0,789000
Charlestown,2019,0.5,0.09,2129.0,760000
Charlestown,2020,0.5,0.12,2129.0,859500
Charlestown,2021,0.5,0.14,2129.0,875000
Charlestown,2022,0.51,0.15,2129.0,907500
Charlestown,2023,0.51,0.17,2129.0,0
Charlestown,2024,0.49,0.28,2129.0,0
Chinatown,2004,0.27,0.13,2111.0,595000
Chinatown,2005,0.28,0.12,2111.0,675250
Chinatown,2006,0.29,0.09,2111.0,575000
Chinatown,2007,0.33,0.09,2111.0,660000
Chinatown,2008,0.34,0.1,2111.0,676500
Chinatown,2009,0.35,0.09,2111.0,585000
Chinatown,2010,0.35,0.09,2111.0,628500
Chinatown,2011,0.35,0.1,2111.0,625000
Chinatown,2012,0.32,0.1,2111.0,629500
Chinatown,2013,0.31,0.11,2111.0,670000
Chinatown,2014,0.31,0.11,2111.0,780000
Chinatown,2015,0.3,0.12,2111.0,885000
Chinatown,2016,0.31,0.12,2111.0,963500
Chinatown,2017,0.31,0.14,2111.0,927500
Chinatown,2018,0.27,0.16,2111.0,1034500
Chinatown,2019,0.27,0.18,2111.0,1044000
Chinatown,2020,0.28,0.21,2111.0,1000000
Chinatown,2021,0.28,0.24,2111.0,1020000
Chinatown,2022,0.29,0.24,2111.0,1150000
Chinatown,2023,0.29,0.27,2111.0,0
Chinatown,2024,0.28,0.3,2111.0,0
Dorchester,2004,0.5,0.04,2121.0,358000
Dorchester,2004,0.5,0.04,2122.0,358000
Dorchester,2004,0.5,0.04,2124.0,358000
Dorchester,2004,0.5,0.04,2125.0,358000
Dorchester,2005,0.5,0.05,2121.0,375000
Dorchester,2005,0.5,0.05,2122.0,375000
Dorchester,2005,0.5,0.05,2124.0,375000
Dorchester,2005,0.5,0.05,2125.0,375000
Dorchester,2006,0.48,0.05,2121.0,345000
Dorchester,2006,0.48,0.05,2122.0,345000
Dorchester,2006,0.48,0.05,2124.0,345000
Dorchester,2006,0.48,0.05,2125.0,345000
Dorchester,2007,0.5,0.05,2121.0,310000
Dorchester,2007,0.5,0.05,2122.0,310000
Dorchester,2007,0.5,0.05,2124.0,310000
Dorchester,2007,0.5,0.05,2125.0,310000
Dorchester,2008,0.49,0.05,2121.0,247410
Dorchester,2008,0.49,0.05,2122.0,247410
Dorchester,2008,0.49,0.05,2124.0,247410
Dorchester,2008,0.49,0.05,2125.0,247410
Dorchester,2009,0.47,0.05,2121.0,200000
Dorchester,2009,0.47,0.05,2122.0,200000
Dorchester,2009,0.47,0.05,2124.0,200000
Dorchester,2009,0.47,0.05,2125.0,200000
Dorchester,2010,0.48,0.06,2121.0,225000
Dorchester,2010,0.48,0.06,2122.0,225000
Dorchester,2010,0.48,0.06,2124.0,225000
Dorchester,2010,0.48,0.06,2125.0,225000
Dorchester,2011,0.48,0.07,2121.0,238250
Dorchester,2011,0.48,0.07,2122.0,238250
Dorchester,2011,0.48,0.07,2124.0,238250
Dorchester,2011,0.48,0.07,2125.0,238250
Dorchester,2012,0.47,0.07,2121.0,265000
Dorchester,2012,0.47,0.07,2122.0,265000
Dorchester,2012,0.47,0.07,2124.0,265000
Dorchester,2012,0.47,0.07,2125.0,265000
Dorchester,2013,0.48,0.08,2121.0,310000
Dorchester,2013,0.48,0.08,2122.0,310000
Dorchester,2013,0.48,0.08,2124.0,310000
Dorchester,2013,0.48,0.08,2125.0,310000
Dorchester,2014,0.48,0.08,2121.0,345000
Dorchester,2014,0.48,0.08,2122.0,345000
Dorchester,2014,0.48,0.08,2124.0,345000
Dorchester,2014,0.48,0.08,2125.0,345000
Dorchester,2015,0.48,0.09,2121.0,400500
Dorchester,2015,0.48,0.09,2122.0,400500
Dorchester,2015,0.48,0.09,2124.0,400500
Dorchester,2015,0.48,0.09,2125.0,400500
Dorchester,2016,0.48,0.09,2121.0,425000
Dorchester,2016,0.48,0.09,2122.0,425000
Dorchester,2016,0.48,0.09,2124.0,425000
Dorchester,2016,0.48,0.09,2125.0,425000
Dorchester,2017,0.48,0.1,2121.0,487500
Dorchester,2017,0.48,0.1,2122.0,487500
Dorchester,2017,0.48,0.1,2124.0,487500
Dorchester,2017,0.48,0.1,2125.0,487500
Dorchester,2018,0.48,0.1,2121.0,548250
Dorchester,2018,0.48,0.1,2122.0,548250
Dorchester,2018,0.48,0.1,2124.0,548250
Dorchester,2018,0.48,0.1,2125.0,548250
Dorchester,2019,0.48,0.11,2121.0,555415
Dorchester,2019,0.48,0.11,2122.0,555415
Dorchester,2019,0.48,0.11,2124.0,555415
Dorchester,2019,0.48,0.11,2125.0,555415
Dorchester,2020,0.48,0.14,2121.0,625000
Dorchester,2020,0.48,0.14,2122.0,625000
Dorchester,2020,0.48,0.14,2124.0,625000
Dorchester,2020,0.48,0.14,2125.0,625000
Dorchester,2021,0.49,0.15,2121.0,665000
Dorchester,2021,0.49,0.15,2122.0,665000
Dorchester,2021,0.49,0.15,2124.0,665000
Dorchester,2021,0.49,0.15,2125.0,665000
Dorchester,2022,0.49,0.16,2121.0,673000
Dorchester,2022,0.49,0.16,2122.0,673000
Dorchester,2022,0.49,0.16,2124.0,673000
Dorchester,2022,0.49,0.16,2125.0,673000
Dorchester,2023,0.49,0.18,2121.0,0
Dorchester,2023,0.49,0.18,2122.0,0
Dorchester,2023,0.49,0.18,2124.0,0
Dorchester,2023,0.49,0.18,2125.0,0
Dorchester,2024,0.48,0.19,2121.0,0
Dorchester,2024,0.48,0.19,2122.0,0
Dorchester,2024,0.48,0.19,2124.0,0
Dorchester,2024,0.48,0.19,2125.0,0
East Boston,2004,0.47,0.03,2128.0,375000
East Boston,2005,0.47,0.03,2128.0,339950
East Boston,2006,0.45,0.03,2128.0,330000
East Boston,2007,0.46,0.03,2128.0,300000
East Boston,2008,0.46,0.04,2128.0,240000
East Boston,2009,0.45,0.04,2128.0,216500
